bedrooms,bathrooms,sqft_living,sqft_lot,yr_built,zipcode,lat,long,price
4,2.75,2060,6659,1981,98058,47.4276,-122.157,322500
3,2.5,2300,3060,1930,98115,47.6827,-122.31,696000
4,1,1660,34848,1933,98052,47.6621,-122.132,550000
4,2,2360,6000,1904,98107,47.6702,-122.362,640000
4,1,1220,8075,1969,98001,47.3341,-122.282,240000
4,2.5,2620,7553,1996,98056,47.5301,-122.18,605000
4,2.5,2570,5520,2000,98074,47.6145,-122.027,625000
4,2.25,4220,24186,1984,98166,47.445,-122.347,775000
5,2.75,3595,5639,2014,98053,47.6848,-122.016,861990
3,1,1570,2280,1922,98119,47.6413,-122.364,685000
3,1,1280,9656,1959,98058,47.4485,-122.175,309000
3,2.5,3160,13603,2003,98019,47.7443,-121.977,488000
3,1,990,8528,1966,98023,47.3066,-122.371,210490
4,2.5,2290,13416,1981,98007,47.6194,-122.151,785000
3,1.75,1250,5963,1953,98115,47.6796,-122.301,450000
3,2.5,2753,65005,1953,98070,47.4041,-122.451,1350000
3,1,1190,9199,1955,98148,47.4258,-122.322,228000
5,2.5,3150,9134,1966,98056,47.4934,-122.189,345000
3,1.75,1410,4080,1950,98117,47.6808,-122.384,600000
2,1.75,1980,8550,1981,98117,47.6989,-122.369,585000
5,2.25,2730,6000,1927,98105,47.6571,-122.281,920000
4,2.5,2830,5000,1995,98105,47.6597,-122.29,885000
4,2.5,2250,4495,2008,98042,47.3663,-122.114,292500
3,2.5,2420,4750,2003,98042,47.3663,-122.122,301000
5,3.25,3250,14342,1968,98008,47.588,-122.116,951000
4,3,1850,9976,1991,98059,47.5059,-122.149,430000
3,2.25,2150,21235,1959,98166,47.4336,-122.339,650000
3,1.75,1260,8400,1954,98148,47.4366,-122.335,289000
3,1.75,2519,8690,1973,98166,47.4428,-122.344,505000
3,1.75,1540,1044,2014,98115,47.6765,-122.32,549000
3,2.25,1660,6000,1979,98122,47.6113,-122.297,425000
3,2.75,2770,3809,1925,98144,47.5747,-122.304,317625
4,2.5,2720,11049,1989,98004,47.5815,-122.192,975000
4,2.5,2240,4648,2005,98001,47.3378,-122.257,287000
3,1,1000,12070,1968,98042,47.3621,-122.11,204000
5,2.25,3200,20158,1965,98004,47.6303,-122.215,1330000
5,3.25,4770,50094,1973,98005,47.6525,-122.16,1040000
3,2,1260,5612,1972,98034,47.7362,-122.179,325000
4,2,2750,7807,1916,98125,47.7168,-122.287,571000
4,2.5,2380,5000,2005,98038,47.3608,-122.036,360000
3,1.75,1790,50529,1965,98042,47.3511,-122.073,349000
4,4,3430,35102,1986,98075,47.5822,-121.987,832500
4,1.75,1760,7300,1956,98008,47.6034,-122.125,380000
3,1,1040,5060,1941,98116,47.5636,-122.394,480000
3,1,1410,5060,1956,98133,47.7073,-122.34,410000
4,2.5,3450,39683,2002,98010,47.342,-122.025,720000
3,2.5,2350,5100,2003,98038,47.3512,-122.008,390000
4,2.5,1900,5889,1992,98038,47.349,-122.031,360000
2,1,2020,6720,1948,98118,47.5474,-122.291,355000
3,1.5,1680,8712,1964,98059,47.4811,-122.149,356000
3,1,960,6634,1952,98125,47.7264,-122.31,315000
3,1.5,2140,3600,1925,98119,47.6337,-122.365,940000
5,2.25,2660,8400,1961,98092,47.2909,-122.189,305000
3,3.25,2770,6278,2006,98056,47.5228,-122.199,461000
2,2.25,1610,2040,1979,98056,47.518,-122.194,215000
2,1.75,1030,1066,2006,98136,47.5394,-122.387,335000
4,2.5,1980,7403,1988,98023,47.2897,-122.372,243500
5,2.75,3520,6353,2001,98199,47.6506,-122.391,1100000
3,1,1200,10500,1962,98023,47.322,-122.351,153000
3,1.5,1580,5000,1939,98117,47.687,-122.386,430000
3,1.5,1580,5000,1939,98117,47.687,-122.386,700000
4,2.5,3300,10250,1946,98040,47.5873,-122.249,905000
3,1.75,1960,15681,1967,98032,47.3576,-122.277,247500
4,1.5,1160,6400,1975,98023,47.3036,-122.378,199000
3,1.75,1810,41800,1980,98038,47.4109,-121.958,314000
3,2.5,2320,36847,1992,98045,47.4838,-121.714,437500
3,2.5,2070,13241,1910,98102,47.6415,-122.315,850830
3,2,1980,3478,1929,98117,47.6775,-122.372,555000
3,2.25,2190,107593,1983,98077,47.7731,-122.08,699950
3,2.5,2920,8113,1950,98004,47.5814,-122.196,1090000
3,1,1210,33919,1954,98058,47.4375,-122.184,290000
3,2.5,2340,10005,1978,98058,47.4431,-122.133,375000
3,1,1670,4005,1939,98117,47.6878,-122.38,460000
2,1.75,1240,2493,1985,98198,47.3813,-122.322,188500
4,2.5,3140,28037,1991,98077,47.7304,-122.082,680000
5,1.75,2030,12342,1942,98052,47.6417,-122.109,470000
4,2.5,2310,9624,1984,98027,47.5386,-122.053,597750
3,1.75,1260,3328,1905,98103,47.6823,-122.349,570000
3,1.75,1540,12600,1980,98038,47.3624,-122.031,272500
3,1.75,2080,5969,1971,98108,47.5474,-122.295,329950
4,2.5,3230,16171,2001,98001,47.3183,-122.253,480000
3,3.5,4380,6350,1900,98117,47.6981,-122.368,740500
3,3.5,1590,1102,2010,98103,47.6824,-122.347,518500
2,1,880,6780,1945,98178,47.5009,-122.248,205425
4,2,1570,9600,1950,98168,47.4965,-122.303,171800
4,1,1610,2982,1925,98144,47.587,-122.294,535000
3,2.5,2400,6474,1964,98177,47.7728,-122.386,660000
3,2,1450,9132,1987,98034,47.7288,-122.226,391500
2,1,770,6000,1953,98117,47.6999,-122.364,395000
4,1.75,2100,4400,1924,98118,47.5299,-122.266,445000
3,2.25,2910,10204,1990,98052,47.6897,-122.098,770000
4,2.75,2750,17789,1914,98004,47.6141,-122.212,1450000
3,2.25,2100,8201,1967,98178,47.5091,-122.244,445000
4,2.25,2160,8811,1978,98023,47.3129,-122.39,260000
5,3.5,2320,4960,1926,98103,47.6763,-122.352,822500
4,2.5,2070,4310,2004,98065,47.5319,-121.85,430000
3,1.75,1060,7875,1986,98092,47.2761,-122.152,212000
4,2.25,2010,9603,1986,98027,47.5343,-122.054,660500
3,3.5,3950,111078,1989,98052,47.697,-122.072,784000
3,2.5,2010,2287,2014,98029,47.5517,-121.998,453246
4,3.5,2140,2278,2005,98107,47.6734,-122.38,675000
3,1.75,1320,17390,1956,98003,47.3257,-122.296,199000
4,1.75,2020,7840,1968,98003,47.3309,-122.299,220000
4,2.25,2590,10002,1968,98028,47.7689,-122.266,452000
2,1,1190,4440,1981,98125,47.7135,-122.287,382500
3,2.25,1170,1249,2014,98107,47.6722,-122.381,519950
2,1,1110,3200,1925,98119,47.6338,-122.358,665000
5,2.5,2820,9375,1968,98006,47.5707,-122.128,527700
3,1,1610,8579,1962,98058,47.4563,-122.171,205000
3,1,1060,8097,1923,98133,47.7144,-122.351,420000
4,2.25,2030,8517,1961,98006,47.5495,-122.174,500000
4,2.5,3670,315374,1994,98077,47.7421,-122.026,921500
4,1,2550,4000,1905,98109,47.6354,-122.353,890000
2,2.5,2420,60984,2007,98027,47.5262,-121.943,430000
5,2,2260,12500,1960,98032,47.3887,-122.286,258000
3,1,1430,3455,1947,98103,47.6873,-122.336,511000
3,2,1360,3090,1990,98103,47.6838,-122.353,532170
3,1,1110,5000,1947,98107,47.655,-122.359,560000
3,1,1250,8200,1954,98003,47.3255,-122.304,282950
4,3.25,5180,19850,2006,98006,47.562,-122.162,2250000
1,1,700,5100,1942,98115,47.679,-122.3,350000
3,1,1180,7669,1967,98058,47.4479,-122.176,215000
5,3.5,3960,25245,1996,98056,47.525,-122.172,650000
4,2.75,2640,7500,1967,98023,47.3135,-122.369,320000
3,2,1270,7198,1916,98022,47.2086,-121.996,247000
4,1.75,1760,11180,1968,98059,47.4715,-122.118,320000
5,2.25,2060,8632,1962,98146,47.4877,-122.335,255000
3,1.75,1780,9660,1962,98034,47.7171,-122.193,438000
3,2.5,3400,16603,2000,98075,47.6012,-122.023,900000
3,2.75,1910,7280,1979,98034,47.7319,-122.224,441000
3,2,2020,38332,1975,98027,47.4582,-122.023,420000
3,1.75,1580,7000,1976,98034,47.7209,-122.168,370000
2,1.75,1340,7250,1949,98198,47.408,-122.327,269950
4,2.5,2680,4499,1999,98006,47.565,-122.125,807100
3,2.5,2680,9750,1979,98034,47.7028,-122.231,653000
3,2,1370,8336,1964,98133,47.7458,-122.331,371500
3,1.75,1560,21000,1954,98166,47.4776,-122.337,284000
3,1.75,2160,7140,1978,98023,47.3026,-122.374,272000
3,1.5,1340,7912,1955,98133,47.7658,-122.339,313000
4,2.5,3880,35003,1984,98033,47.6477,-122.182,917500
4,2.25,2590,8190,1980,98006,47.5619,-122.125,673000
3,2.5,1120,1100,2008,98122,47.6106,-122.31,425000
5,2.75,1970,5400,1986,98144,47.5868,-122.308,399950
3,1,1220,4800,1901,98122,47.6101,-122.307,385000
3,1.5,1950,7560,1975,98022,47.1976,-121.999,269950
2,1,1350,8220,1949,98177,47.7224,-122.358,330000
3,2.5,1670,5797,1988,98030,47.3505,-122.179,260000
4,3,2380,5125,1925,98126,47.5384,-122.376,470000
4,3,2440,9600,1961,98034,47.7044,-122.2,589000
2,1.5,1050,3419,1996,98038,47.3848,-122.039,163500
4,2.75,3130,13412,1993,98052,47.6993,-122.102,835000
5,3,4090,12850,1986,98033,47.6627,-122.188,1100000
4,1.75,1490,10000,1969,98023,47.3099,-122.379,269000
3,2.5,1900,8744,1987,98074,47.62,-122.043,560000
4,1,1330,2400,1901,98103,47.65,-122.34,615000
3,2.25,2230,10026,1975,98052,47.6647,-122.153,585188
3,1.75,1650,9480,1977,98034,47.726,-122.191,305000
3,1,1190,8820,1959,98058,47.4616,-122.184,166950
3,2.5,2140,9897,1959,98040,47.5505,-122.219,799000
3,2.5,2180,7508,1962,98133,47.7606,-122.336,400000
3,1,1060,10228,1948,98155,47.7481,-122.3,230000
3,2.5,1690,5025,2003,98023,47.2779,-122.347,256883
4,2,1970,6480,1920,98108,47.5511,-122.312,423000
3,2.5,2150,4084,2007,98126,47.5488,-122.372,465000
3,2.5,1910,66211,1997,98024,47.5385,-121.911,440000
3,1.75,1350,155073,1969,98038,47.4058,-121.994,385000
3,1,860,11725,1943,98056,47.5093,-122.184,210000
3,2.5,1940,14952,1994,98042,47.3777,-122.165,297000
3,1,1010,5000,1952,98107,47.675,-122.394,470000
3,1.5,1300,7370,1976,98023,47.3025,-122.37,226500
3,1,910,8450,1962,98059,47.4787,-122.158,274250
4,1.75,2480,11010,1966,98040,47.5378,-122.219,840000
3,2.5,2440,4587,2010,98052,47.7073,-122.114,677900
3,1,1010,5864,1915,98116,47.5733,-122.381,425000
2,0.75,900,9600,1941,98166,47.4604,-122.339,180250
6,3,2300,3404,1920,98133,47.7067,-122.343,464000
4,2.25,1550,7579,1993,98038,47.354,-122.047,320000
3,2.25,1270,1566,2014,98105,47.6647,-122.284,625504
4,2.5,2240,12032,1983,98074,47.6143,-122.017,592500
3,2.5,2714,17936,2005,98001,47.3185,-122.275,465000
4,2.75,1720,6270,1978,98118,47.5458,-122.268,477000
2,1,850,16400,1923,98168,47.4889,-122.299,280000
5,3,3300,33474,1957,98040,47.5673,-122.21,1510000
3,2.5,2250,5692,2000,98146,47.5133,-122.379,445838
2,2.25,3900,14864,1947,98144,47.5884,-122.291,1070000
2,1.5,1320,10800,1947,98177,47.7145,-122.367,467000
4,2.5,2760,6440,1999,98075,47.5836,-122.026,686000
3,2,1750,9750,1961,98198,47.398,-122.299,279950
4,2.25,2330,19436,1987,98011,47.7663,-122.215,527000
3,2.25,2220,16020,1966,98030,47.3758,-122.217,325000
3,2.25,2020,8379,1994,98038,47.3828,-122.023,328000
3,2.25,1250,7500,1942,98146,47.5123,-122.373,390000
2,2,1510,6516,2005,98053,47.7076,-122.013,479950
4,2.25,1720,9753,1978,98023,47.2922,-122.371,264950
3,1,1430,15246,1961,98031,47.4075,-122.214,235000
3,2.5,1480,4729,2004,98053,47.6794,-122.034,516500
2,1.75,1450,15798,1915,98166,47.4497,-122.375,655000
4,2.75,2280,15347,1960,98059,47.5218,-122.164,500000
6,2.75,2940,7350,1978,98023,47.3103,-122.339,315000
2,1,1000,10200,1961,98024,47.5687,-121.899,213000
3,1.5,2480,5280,1947,98108,47.5575,-122.303,475000
5,4,3760,28040,1983,98033,47.6489,-122.183,1030000
3,2,2220,94300,1976,98010,47.3459,-121.95,416000
4,1,1970,4740,1904,98122,47.6136,-122.303,410000
3,3.5,3830,221284,1993,98077,47.7641,-122.023,800000
6,2.5,4410,14034,1965,98003,47.3376,-122.324,472000
3,1.75,1430,8505,1968,98003,47.3173,-122.319,225000
2,1,830,6000,1940,98126,47.5308,-122.376,210000
2,1,1430,5000,1925,98115,47.6727,-122.299,455000
3,1,1300,8316,1954,98002,47.3221,-122.216,225000
2,1,1030,3060,1918,98103,47.6779,-122.353,480000
3,2.5,2740,11872,1990,98023,47.3076,-122.395,363000
4,2.5,3650,8354,2000,98074,47.6338,-122.072,2400000
2,1.5,720,5120,1954,98106,47.5218,-122.357,181000
4,2,2010,7312,1976,98002,47.2785,-122.213,250000
3,1.75,1560,3000,1918,98103,47.6846,-122.345,481000
3,2,1810,7209,1978,98032,47.3656,-122.278,260000
4,2.5,3360,7685,2001,98058,47.4369,-122.111,455000
3,2.25,1510,36224,1991,98045,47.4616,-121.711,415000
3,1,1400,3538,1953,98118,47.5405,-122.27,349500
3,2.5,1730,7442,1987,98030,47.3507,-122.178,245000
2,2,1420,9191,1928,98115,47.6979,-122.32,592500
4,1.75,2360,7620,1955,98106,47.5278,-122.345,385000
3,1.75,1580,11455,1974,98059,47.4756,-122.147,315000
3,1,1230,10170,1979,98045,47.4437,-121.772,255000
4,2.5,2460,4425,2006,98052,47.7048,-122.109,693000
3,1,1660,4400,1911,98112,47.6362,-122.302,780000
3,1.75,1270,8470,1960,98198,47.4207,-122.29,237000
3,2.25,2100,40510,1979,98074,47.6154,-122.047,525000
2,1,770,5040,1930,98144,47.5964,-122.299,425000
1,0.75,760,10079,1936,98070,47.4683,-122.438,369900
4,2.5,1700,7280,1988,98031,47.4045,-122.171,290000
3,1,1120,10701,1954,98106,47.5544,-122.358,285000
2,1,1070,4500,1937,98115,47.6802,-122.29,415000
3,2.5,2070,9900,1979,98023,47.2988,-122.371,272500
4,3.25,5050,20100,1982,98004,47.6312,-122.223,2900000
4,4.75,5310,57346,1989,98077,47.7285,-122.042,1370000
2,1,1040,7538,1939,98133,47.7107,-122.352,436000
3,1,1700,11390,1967,98003,47.3271,-122.323,210000
3,1,1300,5898,1961,98178,47.5053,-122.255,236000
3,1.75,1080,1306,1954,98199,47.6601,-122.4,331000
3,2.5,2653,4510,2006,98031,47.4145,-122.166,365000
3,2,2290,16258,1960,98058,47.4672,-122.165,450000
4,2.75,3820,26300,2014,98028,47.7618,-122.261,770000
4,2.5,2210,49375,1997,98038,47.3828,-122.071,455000
3,1.75,2390,6000,1908,98118,47.5362,-122.268,405000
4,1.75,2600,11325,1969,98031,47.3954,-122.206,304900
2,1,860,5265,1931,98178,47.5048,-122.272,170000
5,3,3830,8480,1905,98122,47.6166,-122.287,2050000
4,2.5,3500,7048,2005,98053,47.6811,-122.025,780000
3,3,2420,13959,1988,98028,47.7486,-122.23,330000
4,2.5,2720,8666,1992,98030,47.3846,-122.169,370000
5,2.25,2500,13500,1979,98072,47.7564,-122.144,467000
3,1.75,1670,6720,1980,98034,47.7198,-122.193,405000
5,2.25,2900,10300,1985,98006,47.5461,-122.151,675000
2,1,1640,14100,1954,98006,47.5712,-122.143,500000
4,2.5,1890,15770,1968,98166,47.4281,-122.343,389999
4,1.75,2950,9025,1975,98034,47.7128,-122.223,630000
4,2.5,2160,9528,1992,98001,47.3341,-122.255,360000
4,3,3280,11060,1986,98056,47.5399,-122.181,580000
3,2,1970,4166,1929,98126,47.5717,-122.375,550000
4,2.5,3360,22111,1994,98075,47.5951,-122.017,879000
3,2,1320,8959,1993,98042,47.3536,-122.144,265000
3,2.5,2650,7286,1990,98059,47.5084,-122.154,446500
3,1.5,2030,8880,1963,98108,47.5586,-122.311,404000
3,1.75,1590,11914,1957,98188,47.4427,-122.274,267500
4,5,4550,18641,2002,98074,47.6053,-122.077,3080000
3,2.5,2440,7632,1998,98003,47.3494,-122.301,335000
3,2.5,1940,9000,1948,98117,47.6933,-122.393,576000
3,2.5,2040,3810,2006,98038,47.3537,-122,208633
3,2.25,2200,8750,1964,98166,47.476,-122.337,315000
3,1.75,1920,3300,1913,98112,47.6239,-122.298,725000
4,2.75,1800,7750,1965,98177,47.7776,-122.384,550000
4,2.25,2180,7297,1984,98074,47.6459,-122.058,610750
2,1,1010,5000,1908,98105,47.6692,-122.297,550700
4,2.75,3320,10574,1960,98056,47.5376,-122.18,665000
4,2.5,2370,4000,1928,98144,47.601,-122.294,834000
5,1.75,1660,78408,1915,98065,47.529,-121.837,201000
5,2.5,3650,9050,1921,98119,47.6345,-122.367,2380000
4,3.25,4290,12103,1997,98006,47.5503,-122.102,1380000
4,3.25,4290,12103,1997,98006,47.5503,-122.102,1400000
4,2.25,1950,7700,1979,98058,47.4441,-122.125,305000
3,2,2590,14052,1948,98133,47.7357,-122.333,487000
3,2.5,1930,64904,1988,98042,47.346,-122.157,390000
2,1,1470,3864,1916,98103,47.6638,-122.345,548000
4,1,800,8775,1943,98166,47.48,-122.336,268750
5,2.75,3150,7119,2013,98052,47.6759,-122.151,819900
3,2.25,2030,16200,1984,98027,47.5162,-122.057,520000
3,2,1450,11204,2003,98001,47.2639,-122.252,230000
3,1.75,1510,10248,1969,98023,47.2929,-122.371,240000
2,1,1240,12092,1922,98146,47.4957,-122.352,232000
2,1,1240,12092,1922,98146,47.4957,-122.352,240500
3,2.5,3030,45004,1987,98077,47.7721,-122.093,274975
4,2,2050,4400,1922,98102,47.644,-122.319,740000
3,1,1000,7636,1952,98166,47.472,-122.344,186375
3,2.25,2370,10289,1977,98005,47.592,-122.166,790000
4,3.5,2800,6750,1951,98105,47.669,-122.275,880000
6,1.75,2240,11180,1955,98198,47.42,-122.323,279000
3,2,1810,10530,1991,98022,47.1913,-122.012,295000
2,1,1070,5000,1924,98103,47.6666,-122.331,640000
4,2,2490,9525,1968,98040,47.5639,-122.217,940000
4,2.5,1960,5238,2003,98038,47.3483,-122.052,260000
3,2.75,2930,5569,2004,98072,47.7648,-122.164,559900
4,2,1510,3500,1911,98103,47.6794,-122.357,791500
3,1.75,1420,8250,1954,98133,47.7535,-122.354,265000
3,1.75,1740,11547,1954,98178,47.4945,-122.22,245000
4,1.75,2560,43995,1962,98052,47.6945,-122.093,485000
4,3.5,3040,8414,2010,98059,47.5222,-122.157,684000
3,1.75,2500,6840,1957,98125,47.7222,-122.32,425000
4,1.75,1275,20000,1991,98070,47.3796,-122.49,309600
4,2.5,2580,5823,2002,98065,47.5374,-121.875,552250
4,1,1000,7134,1943,98178,47.4897,-122.24,165000
4,1,1000,7134,1943,98178,47.4897,-122.24,239900
2,1,1070,32633,1930,98059,47.4716,-122.078,320000
3,2,1390,13464,1987,98030,47.3581,-122.173,206600
4,1.75,2500,7690,1973,98155,47.7713,-122.307,387000
1,0.75,560,12120,1967,98014,47.675,-121.854,299000
4,2.75,2270,10460,1965,98040,47.5603,-122.222,855000
3,1,1900,14400,1954,98166,47.4147,-122.337,315000
2,1,990,3120,1907,98103,47.68,-122.353,437500
4,1.5,1550,19800,1969,98001,47.3117,-122.27,252000
4,1.75,2200,7475,1955,98118,47.543,-122.28,375000
4,2.5,1910,4862,2005,98038,47.3607,-122.034,300000
4,1,1750,9600,1954,98006,47.5759,-122.137,420000
3,1,1330,77972,1928,98033,47.6891,-122.159,900000
3,2.5,2440,5750,2000,98116,47.565,-122.381,679900
3,2.5,1640,29970,1992,98053,47.6359,-121.974,463000
5,2.5,2760,11340,1978,98059,47.4769,-122.141,380000
4,2.5,1820,7912,1994,98038,47.3845,-122.029,329500
3,2.5,2110,5608,2013,98033,47.6743,-122.184,604950
5,2.5,3040,9570,1966,98006,47.5651,-122.164,795000
3,2,1840,40438,1994,98045,47.4853,-121.709,465000
4,2.5,2990,10400,2002,98166,47.4508,-122.359,673000
4,2.5,3520,15420,1991,98074,47.6375,-122.016,810000
4,2.75,2440,69415,1989,98075,47.5944,-122.042,785000
4,3,2090,7500,1986,98056,47.4888,-122.182,338000
3,2.25,1430,7222,1993,98056,47.5112,-122.19,280000
4,2.25,2180,10754,1954,98133,47.7711,-122.341,315000
4,2.25,2180,10754,1954,98133,47.7711,-122.341,530000
5,3,3450,9914,2004,98023,47.2813,-122.345,380000
3,2.25,1450,7562,1994,98056,47.5038,-122.189,297000
4,2.5,3230,7331,2004,98075,47.5823,-121.97,730000
3,1.75,1640,13500,1940,98125,47.7164,-122.304,450000
3,3,1590,7750,1997,98038,47.3624,-122.045,275000
4,2,2020,2849,1960,98115,47.6831,-122.329,595000
3,1.5,1300,3348,1904,98144,47.592,-122.307,435000
2,1.5,1380,209959,1954,98011,47.7461,-122.195,270000
3,3,4040,14338,1986,98077,47.7268,-122.06,950000
4,2.25,2130,5337,2001,98019,47.7237,-121.959,389000
4,2.25,2550,7800,1968,98052,47.6283,-122.095,560000
5,3.5,4800,14984,1998,98006,47.5543,-122.148,1350000
4,2.25,2510,11585,1969,98040,47.5483,-122.226,799000
3,2,1410,9600,1983,98072,47.7591,-122.146,365500
3,2,1650,7352,1979,98058,47.4612,-122.169,252350
4,2.5,2120,13780,1993,98146,47.4987,-122.365,403950
4,1.5,2040,10726,1954,98177,47.772,-122.358,385000
4,1,1550,7620,1957,98106,47.5287,-122.35,345000
3,2.75,1980,3128,1979,98008,47.6109,-122.114,490000
3,2.5,1600,26977,2005,98019,47.7736,-121.901,330000
4,2.75,3300,12090,1953,98004,47.6294,-122.218,927000
4,2.5,3840,16619,1983,98040,47.5634,-122.213,1120000
2,1,1220,10000,1950,98028,47.7405,-122.241,330000
5,2.25,2720,8800,1958,98008,47.5976,-122.118,530000
4,2,1940,25600,1962,98006,47.5722,-122.129,365000
3,2.5,2160,3000,1909,98118,47.5644,-122.289,378750
4,1.75,1530,8750,1968,98058,47.4556,-122.157,269900
3,3.5,1710,2096,2008,98122,47.6055,-122.305,557000
4,1.75,3730,16980,1974,98022,47.1775,-122.022,360000
2,1,940,5000,1937,98117,47.6879,-122.385,352000
3,2.5,1750,22357,1994,98045,47.4807,-121.779,437000
4,2.5,1820,6753,1994,98038,47.3845,-122.032,322500
3,3.25,1510,2000,2001,98116,47.5815,-122.402,650000
3,2,1290,1213,2001,98103,47.6609,-122.344,450000
3,2,1570,5250,1998,98092,47.3163,-122.188,278500
4,2.5,1930,6957,1995,98055,47.4309,-122.191,364950
4,3.5,2840,40139,1986,98038,47.401,-122.026,840000
3,2.5,1550,8134,1991,98031,47.404,-122.191,268000
2,1,833,143947,2006,98070,47.3889,-122.482,517534
3,2.5,2990,32239,1978,98077,47.7718,-122.095,632925
3,2.5,2000,7251,1995,98034,47.7067,-122.2,577500
4,1.5,2390,7480,1920,98178,47.504,-122.227,339000
3,1.75,2910,37461,1967,98052,47.7015,-122.164,570000
4,1.75,2085,174240,1964,98024,47.5753,-121.95,563500
4,2.25,2200,9351,1962,98133,47.7448,-122.333,423000
3,2.25,1860,5028,2012,98019,47.7318,-121.982,355000
5,4.25,6070,171626,1999,98024,47.5954,-121.95,1550000
2,1,950,3960,1941,98103,47.6885,-122.337,482000
3,1.75,1600,9135,1955,98006,47.5724,-122.179,625000
3,2.5,2250,11632,1988,98056,47.5272,-122.169,538000
3,2.5,2280,10255,1985,98058,47.4334,-122.161,380000
2,1,940,5120,1909,98122,47.6073,-122.308,375000
3,2.5,1530,8500,1996,98038,47.3592,-122.046,245000
5,1.75,2190,27260,1947,98166,47.4546,-122.337,310000
3,2,2350,15021,1976,98004,47.6408,-122.219,1300000
4,2,1440,7680,1971,98034,47.7245,-122.2,397000
3,2.5,2200,4052,2005,98058,47.4362,-122.178,365000
4,3,2290,8250,1990,98042,47.3739,-122.156,328500
4,3,4040,19700,1987,98052,47.7205,-122.127,988000
4,2.5,2610,3277,1922,98103,47.6636,-122.33,1000000
3,2.5,1490,2138,2005,98055,47.4324,-122.197,237000
4,2.5,2450,5280,2003,98011,47.7734,-122.224,525000
4,2.5,1710,9627,1976,98006,47.559,-122.164,749000
5,2.5,4870,11800,1983,98074,47.633,-122.041,722500
3,2.5,3130,8750,1991,98052,47.6954,-122.103,843000
2,2,1270,1372,2000,98115,47.6776,-122.318,438000
3,1.75,2120,10875,1977,98146,47.504,-122.382,578000
3,1.5,1670,8230,1954,98001,47.2613,-122.255,227950
3,2.25,2070,11576,1974,98001,47.3417,-122.271,196000
2,1,1420,5332,1953,98105,47.6694,-122.275,641000
3,1.5,1250,219978,1980,98038,47.4056,-121.955,350000
3,1,940,7980,1960,98032,47.3838,-122.289,205000
3,1.75,1920,9102,1968,98072,47.7487,-122.082,400000
3,2.5,3545,9816,2005,98027,47.5534,-122.078,1030000
3,2,1260,5460,1972,98034,47.7355,-122.18,505000
5,2.5,2340,7200,1975,98034,47.7206,-122.211,475000
3,2.25,2590,9263,1977,98028,47.7691,-122.262,520000
3,4.5,3970,24920,1977,98034,47.7183,-122.258,1450000
3,1.75,1220,9732,1965,98011,47.7736,-122.214,333500
3,1,1400,10403,1976,98038,47.362,-122.029,232000
3,2.75,2360,16117,1983,98006,47.5698,-122.121,691100
3,1.75,1870,9897,1960,98040,47.5505,-122.221,811000
3,2.5,2830,5802,2001,98028,47.7605,-122.234,551000
3,2.5,2260,3640,1994,98072,47.7356,-122.157,496500
3,3,1970,20978,1980,98070,47.3844,-122.438,705000
4,2.5,3140,9225,1966,98055,47.4904,-122.226,578000
3,1.75,1240,8659,1986,98042,47.3663,-122.089,255000
